,policy,seconds,avg_gpu_util,avg_gpu_mem_used,cpu_util,cpu_mem_used
264,deepspeed_policy,269.23973965644836,0.0,17921540096.0,11.3,76517306368
265,deepspeed_policy,270.24331998825073,96.875,17921540096.0,10.7,76517289984
266,deepspeed_policy,271.2546465396881,76.0,17921540096.0,12.5,76505100288
267,deepspeed_policy,272.3220453262329,76.0,17921540096.0,12.0,76505100288
268,deepspeed_policy,273.35428285598755,70.0,18388680704.0,11.7,76505100288
269,deepspeed_policy,274.4194540977478,0.0,18388680704.0,11.2,76505100288
270,deepspeed_policy,275.4228980541229,95.75,18388680704.0,10.8,76505595904
271,deepspeed_policy,276.42652440071106,71.625,18388680704.0,12.2,76505333760
272,deepspeed_policy,277.47145223617554,73.125,18388680704.0,12.1,76505071616
273,deepspeed_policy,278.4791121482849,62.125,18388680704.0,11.5,76504125440
274,deepspeed_policy,279.55456948280334,0.0,18388680704.0,11.2,76504117248
275,deepspeed_policy,280.55801010131836,88.625,18388680704.0,11.3,76504117248
276,deepspeed_policy,281.56927156448364,91.75,18388680704.0,12.6,76504633344
277,deepspeed_policy,282.5892479419708,99.75,18388680704.0,11.9,76504444928
278,deepspeed_policy,283.60696172714233,63.5,18388680704.0,11.9,76504702976
279,deepspeed_policy,284.66431164741516,0.0,18388680704.0,10.5,76504702976
280,deepspeed_policy,285.6681282520294,72.75,18388680704.0,12.3,76506468352
281,deepspeed_policy,286.7421040534973,79.5,18388942848.0,12.7,76508119040
282,deepspeed_policy,287.7681405544281,90.875,18388942848.0,12.3,76512096256
283,deepspeed_policy,288.80906772613525,60.125,18388942848.0,12.3,76512231424
284,deepspeed_policy,289.81566548347473,49.0,18388942848.0,10.6,76512174080
285,deepspeed_policy,290.8322069644928,90.0,18388942848.0,12.6,76512112640
286,deepspeed_policy,291.8656499385834,94.5,18388942848.0,12.5,76505108480
287,deepspeed_policy,292.89785146713257,92.875,18388942848.0,12.0,76505870336
288,deepspeed_policy,293.9019651412964,0.0,18388942848.0,11.6,76505870336
289,deepspeed_policy,294.9059133529663,82.375,18388942848.0,11.1,76510433280
290,deepspeed_policy,295.92244601249695,81.375,18388942848.0,12.3,76510433280
291,deepspeed_policy,296.94127130508423,77.25,18388942848.0,12.1,76509917184
292,deepspeed_policy,297.9448046684265,64.75,18388942848.0,11.8,76510146560
293,deepspeed_policy,299.023939371109,0.0,18388942848.0,11.0,76510138368
294,deepspeed_policy,300.027583360672,90.0,18388942848.0,11.5,76510138368
295,deepspeed_policy,301.0620722770691,91.625,18388942848.0,12.1,76510138368
