,dataset,iteration,layer_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
62,bookcorpus,2,3,457,1275,1240,2101,909,1515,152,873,4690,292,2045,458,1238,731,713,2370,3263,2157,466,2271,267,946,3221,1174,1470,456,3203,561,87,734,344,1329,605,2447,514,222,1391,330,4113,1957,204,5215,2471,0,2426,294,481,5175,60,20,551,333,658,615,6570,1139,3530,9425,4071,479
63,bookcorpus,3,3,933,1482,1215,2508,951,1501,110,514,4869,397,1669,408,1387,627,858,2872,3371,1458,766,2315,133,769,2464,1344,1648,500,3401,769,108,509,427,1920,605,2676,672,286,1263,275,4010,1633,429,4935,2531,0,2099,199,356,4958,95,5,344,425,576,580,6432,1504,2996,9297,4517,403
64,bookcorpus,4,3,427,1344,1194,2228,1028,1546,129,1088,4872,486,1591,449,1492,528,822,2483,3211,2731,397,2852,294,770,2939,1405,1812,859,3340,305,218,821,363,1421,450,2496,548,187,1166,261,4099,1844,154,5486,2126,0,1972,197,359,4905,110,27,389,398,522,631,6412,1293,3315,9576,3753,183
65,bookcorpus,5,3,726,1632,956,1743,654,1859,200,1214,4780,353,2173,468,1443,861,755,2392,3491,1503,519,2720,169,662,2697,1414,1243,519,3473,588,151,558,324,1481,614,2644,396,194,1205,236,4304,1657,294,5044,2230,0,2336,141,280,4883,63,15,800,411,426,576,6717,1137,3554,10023,3958,445
66,bookcorpus,6,3,562,1387,1555,2243,976,1296,107,761,3988,556,2604,221,1583,663,871,2442,3453,1130,270,2921,230,809,3239,1380,1318,731,3326,312,66,727,458,1692,481,2387,629,207,1248,310,4220,1403,211,5113,2629,2,2312,191,269,4936,132,15,543,422,702,424,7350,1142,4023,9295,3510,321
67,bookcorpus,7,3,533,1366,1488,2271,1111,952,172,824,4299,367,2122,388,1708,1141,1286,2272,3500,1985,426,2317,216,1045,2335,1385,1445,611,3675,565,29,593,412,1919,531,2516,577,175,1240,221,3731,1278,282,5421,2451,0,2224,242,462,4896,101,12,506,416,565,418,5884,1642,3399,9736,4170,450
68,bookcorpus,8,3,610,1177,951,2096,1037,1333,205,1075,5203,333,1954,387,1188,514,1228,2319,3340,2158,459,2393,209,751,3383,1712,1513,634,3423,674,187,440,326,1500,740,3072,644,290,1217,399,3571,1398,323,5219,1821,0,2087,100,241,4865,50,7,598,367,517,812,5987,1467,3817,8965,4614,404
69,bookcorpus,9,3,763,1503,1486,2227,948,1042,81,920,4220,304,2271,561,1504,687,1006,2193,3853,1264,461,2949,177,760,2351,1603,1071,731,3631,349,79,690,419,1793,815,2956,587,214,1307,342,3895,1633,258,4860,2488,0,2169,197,280,4724,213,39,615,372,623,918,6422,1412,3480,9301,4028,259
70,bookcorpus,10,3,819,1263,1129,1784,748,1905,178,916,4550,427,2071,599,1466,540,1237,2948,2699,2042,380,2179,246,1279,3375,1280,1384,926,2835,395,182,781,265,1609,508,3135,646,155,1004,327,3804,1901,231,5336,2382,0,1970,226,447,5014,34,19,524,378,529,548,6182,1382,3509,9350,3872,454
71,bookcorpus,11,3,706,1388,1198,2581,1152,1284,193,693,4452,463,1981,672,1369,852,1476,2436,3463,1522,373,2131,227,655,3148,1571,1339,983,3756,554,255,452,418,1421,786,2998,574,301,1354,277,3666,1669,273,4701,2354,0,2070,226,373,4847,81,16,550,400,524,551,6151,1316,3783,9337,3548,414
72,bookcorpus,12,3,361,1262,1154,2626,703,1177,140,860,4838,484,1815,288,1646,741,1016,2603,3383,2172,305,2462,234,1015,2419,1287,1408,651,3679,557,87,492,404,1877,580,3308,716,193,1316,377,3856,1498,187,5668,2219,0,1924,225,481,4875,10,12,563,386,771,578,6234,1446,2958,9261,4169,347
73,bookcorpus,13,3,556,1936,1164,1859,1017,1248,47,1033,4481,373,1915,379,1542,538,874,2782,3181,1927,496,2262,267,1129,2976,1428,1443,267,3964,384,132,725,407,1384,861,2800,615,307,1513,359,3977,1660,249,5058,2527,0,2098,178,394,5016,73,5,353,320,597,308,6986,1557,3785,8730,3577,285
74,bookcorpus,14,3,731,1358,1292,2157,989,1105,96,981,4673,263,2274,303,1414,539,963,2330,3784,1887,452,2423,165,732,2319,885,956,1056,3308,620,110,611,301,1673,494,3068,701,241,1530,244,3747,1799,191,5226,2357,0,2377,310,485,4740,114,13,796,386,704,579,6729,1516,3561,9381,3924,341
75,bookcorpus,15,3,878,1339,1310,1948,1155,1349,88,477,3875,399,1810,406,1657,655,687,2315,3701,1790,319,2720,181,958,2406,1520,1817,511,3023,1031,168,610,286,1322,787,2251,635,231,1658,316,4108,1656,215,4782,2673,0,1766,131,453,4682,38,36,401,495,632,575,6379,1443,4490,9828,4428,504
76,bookcorpus,16,3,739,1321,860,2521,876,1159,160,1192,4504,517,1897,464,1206,626,1112,2009,3679,1898,376,1934,481,1255,2437,1651,1158,827,3347,706,216,403,329,1749,579,3103,663,148,1182,364,3676,1564,269,5086,2106,0,2516,226,557,5022,34,17,773,406,537,542,6431,1331,3735,9027,4385,416
77,bookcorpus,17,3,454,1167,762,2566,940,1073,179,857,4818,498,2205,676,1049,813,856,2253,3554,2520,456,3096,227,958,2467,1410,1480,795,3706,430,135,684,424,1101,756,2941,484,195,881,250,3812,1425,266,5255,2368,0,1714,131,610,4903,81,26,566,500,535,506,6560,1208,2932,9857,4733,200
78,bookcorpus,18,3,764,1370,1253,2291,1115,1337,132,930,4682,367,1501,485,1337,715,1085,2493,4127,2158,448,2726,303,1056,2438,1415,1122,801,3495,587,130,836,462,1744,557,2705,503,234,1272,294,3452,1686,285,4789,2634,0,1991,187,393,4924,101,14,488,476,477,828,5787,1672,3413,8974,4145,318
79,bookcorpus,19,3,940,939,1472,2490,990,1372,159,735,4409,287,2101,481,1682,902,897,2230,3535,2162,255,2662,232,1033,2707,962,1807,672,3046,425,113,665,254,1319,629,2396,575,322,1271,350,3874,1283,385,4890,2496,0,2165,139,270,4890,59,17,544,507,495,651,6664,1501,3499,9507,4614,376
80,bookcorpus,0,4,2747,525,2551,114,3,320,730,477,135,5363,47,2224,36,688,2116,493,4269,273,4966,934,3253,2081,4521,39,196,50,15,1236,1826,5332,30,164,2185,5473,85,1512,380,201,184,1476,1845,192,1586,224,5596,784,612,498,71,1231,1144,839,1687,1097,3006,973,1,473,1544,15651
