,dataset,scheduling_policy,iteration,layer_idx,0,1,2,3,4,5,6,7
336,bookcorpus,deepspeed,6,11,0,17,159,336,0,0,0,0
337,bookcorpus,deepspeed,7,11,0,29,142,341,0,0,0,0
338,bookcorpus,deepspeed,8,11,0,14,177,321,0,0,0,0
339,bookcorpus,deepspeed,9,11,0,18,157,337,0,0,0,0
340,bookcorpus,deepspeed,10,11,0,19,167,326,0,0,0,0
341,bookcorpus,deepspeed,11,11,0,10,181,321,0,0,0,0
342,bookcorpus,deepspeed,12,11,0,16,169,327,0,0,0,0
343,bookcorpus,deepspeed,13,11,0,18,166,328,0,0,0,0
344,bookcorpus,deepspeed,14,11,0,25,173,314,0,0,0,0
345,bookcorpus,deepspeed,15,11,0,23,177,312,0,0,0,0
346,bookcorpus,deepspeed,16,11,0,20,173,319,0,0,0,0
347,bookcorpus,deepspeed,17,11,0,22,157,333,0,0,0,0
348,bookcorpus,deepspeed,18,11,0,18,165,329,0,0,0,0
349,bookcorpus,deepspeed,19,11,0,19,166,327,0,0,0,0
350,bookcorpus,deepspeed,20,11,0,22,170,320,0,0,0,0
351,bookcorpus,deepspeed,21,11,0,17,173,322,0,0,0,0
352,bookcorpus,deepspeed,22,11,0,23,166,323,0,0,0,0
