iteration,throughput (toks/s),scheduling_policy
99,179.4941817949304,harmony
100,183.917911094561,harmony
101,178.37780765484598,harmony
102,181.94116973262112,harmony
103,168.36374811995648,harmony
104,179.1805581397988,harmony
105,183.13306067690075,harmony
106,181.31472693751985,harmony
107,130.0382420100656,harmony
108,174.435061495021,harmony
109,180.76120854286924,harmony
110,179.3469306762671,harmony
111,181.05946333144865,harmony
112,180.75133435059865,harmony
113,179.5842885171719,harmony
114,179.85000085842913,harmony
115,179.8120518951162,harmony
116,176.53592753381335,harmony
117,165.2783040769908,harmony
118,113.35554650932991,harmony
119,164.6178000148713,harmony
120,181.1501250388242,harmony
121,179.20440715184156,harmony
122,179.48674073918676,harmony
123,181.19059776055997,harmony
124,172.6695819571255,harmony
125,182.4756020827274,harmony
126,131.87305799707647,harmony
127,179.51824943337422,harmony
128,180.55087378040002,harmony
129,179.89634440305332,harmony
130,180.58181574779604,harmony
131,181.56553787984794,harmony
132,179.15087162672398,harmony
133,181.25909714472758,harmony
134,180.55167831945002,harmony
135,177.9507481611892,harmony
136,126.97382374042486,harmony
137,175.37980719916112,harmony
138,183.52045138427175,harmony
139,182.04695991130112,harmony
140,163.87552019904217,harmony
141,181.65555476040993,harmony
142,179.19311732978778,harmony
143,181.20093281853593,harmony
144,179.35202339018747,harmony
145,124.84128891836916,harmony
146,171.29807663698992,harmony
147,167.02588053642512,harmony
148,182.59792769543168,harmony
149,126.14800095749852,harmony
150,161.41054180087582,harmony
151,176.76041320190984,harmony
152,180.41975389129937,harmony
153,177.6983774835451,harmony
154,179.62149535719857,harmony
155,177.01216748454192,harmony
156,178.41888903382215,harmony
157,180.3939891845105,harmony
158,177.5623368853237,harmony
159,181.0789595439963,harmony
160,174.99278616794334,harmony
161,182.32140838948055,harmony
162,180.96912108169374,harmony
163,181.19354832993963,harmony
164,178.87693814325908,harmony
165,168.53849664399823,harmony
166,182.68039288110143,harmony
167,182.99030574312738,harmony
168,180.2449258044126,harmony
169,179.63016464704222,harmony
170,180.02671943802062,harmony
171,171.47036039391773,harmony
172,182.2772727072103,harmony
173,179.82929259348893,harmony
174,180.58623472521037,harmony
175,183.76281230182238,harmony
176,178.56986096972778,harmony
177,182.03604976984025,harmony
178,182.48319998857932,harmony
179,184.39816086442738,harmony
