iteration,throughput (toks/s),system_name
69,31.809189034436603,fastmoe
70,34.601972103460156,fastmoe
71,17.29707081480351,fastmoe
72,20.92393113412682,fastmoe
73,27.268424003879108,fastmoe
74,28.280830180664367,fastmoe
75,19.916194069893145,fastmoe
76,17.609228571008735,fastmoe
77,19.883165242536652,fastmoe
78,21.416164185499692,fastmoe
79,21.013503228324925,fastmoe
80,17.296101940910987,fastmoe
81,18.94050231517763,fastmoe
82,27.08849056710398,fastmoe
83,32.28000658021107,fastmoe
84,17.691504085380416,fastmoe
85,31.12728217259213,fastmoe
86,21.640081294905567,fastmoe
87,21.02872689913519,fastmoe
88,17.483484674749402,fastmoe
89,18.209710164668927,fastmoe
90,24.397438861768045,fastmoe
91,17.70238388752443,fastmoe
92,30.662311660343622,fastmoe
93,19.42635575737342,fastmoe
94,17.63228792551872,fastmoe
95,17.481268251749807,fastmoe
96,19.071079028524597,fastmoe
97,23.152079295000178,fastmoe
98,19.3331113152039,fastmoe
99,19.252566622008143,fastmoe
100,17.94418304677831,fastmoe
101,17.466229649281402,fastmoe
102,19.873288931497243,fastmoe
103,29.057032879326048,fastmoe
104,21.549075631439383,fastmoe
105,20.617065398360644,fastmoe
106,31.414811102241156,fastmoe
107,17.771003071956084,fastmoe
108,25.367335773551144,fastmoe
109,18.847112719119064,fastmoe
110,28.007694768970516,fastmoe
111,19.563787305488468,fastmoe
112,30.015181829512432,fastmoe
113,28.033301335311698,fastmoe
114,28.56933129065235,fastmoe
115,24.109906533460563,fastmoe
116,27.96010052640818,fastmoe
117,29.42198650070162,fastmoe
118,17.756041460216373,fastmoe
119,23.251112337353216,fastmoe
120,24.749445516000193,fastmoe
121,29.136840252792744,fastmoe
122,29.23236793593599,fastmoe
123,28.02333549732693,fastmoe
124,18.86765111620263,fastmoe
125,20.092807126345605,fastmoe
126,17.984661190689945,fastmoe
127,21.255762686525564,fastmoe
128,22.259112260663226,fastmoe
129,26.641306117004596,fastmoe
130,19.9675435885575,fastmoe
131,25.113142904472145,fastmoe
132,19.067210188747076,fastmoe
133,23.95070874265037,fastmoe
134,19.709592790746623,fastmoe
135,26.413089716025286,fastmoe
136,17.414315842719937,fastmoe
137,20.93611615524331,fastmoe
138,18.949476619265035,fastmoe
139,32.816434151185376,fastmoe
140,28.769597253116437,fastmoe
141,18.914188277006936,fastmoe
142,21.15283060617287,fastmoe
143,33.285265155773644,fastmoe
144,25.339048067350426,fastmoe
145,16.907119031223232,fastmoe
146,19.05450933121733,fastmoe
147,18.035162578101737,fastmoe
148,21.650106504884775,fastmoe
149,17.689620068714174,fastmoe
150,23.246596607392018,fastmoe
151,25.965784376517856,fastmoe
152,26.904565153768747,fastmoe
153,25.518360145408828,fastmoe
154,23.153884566046788,fastmoe
155,22.073081742940122,fastmoe
156,27.569566233125286,fastmoe
157,22.984859624783198,fastmoe
158,25.459647426031978,fastmoe
159,23.48918368542232,fastmoe
160,20.85986755889104,fastmoe
161,25.161634587841124,fastmoe
162,27.04305846815466,fastmoe
163,18.090358977455544,fastmoe
164,19.176762776580883,fastmoe
165,29.598207347089513,fastmoe
166,24.15215793161031,fastmoe
167,24.513453588025282,fastmoe
